Model,Window Size,LR,Alpha,Gamma,Threshold,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-W1000-LR0.0001-A0.25-G3.0-TH0.25,1000,0.0001,0.25,3.0,0.25,92.78999999999978,24.733800906313007,31.763766959297683,Success,0
MLP-W1000-LR0.0001-A0.25-G3.0-TH0.3,1000,0.0001,0.25,3.0,0.3,94.54999999999993,27.239594634777507,38.10504634397528,Success,1
MLP-W1000-LR0.0001-A0.5-G1.0-TH0.2,1000,0.0001,0.5,1.0,0.2,93.95000000000022,26.90641371659871,36.697247706422026,Success,0
MLP-W1000-LR0.0001-A0.5-G1.0-TH0.25,1000,0.0001,0.5,1.0,0.25,94.89999999999978,28.083325320898034,39.827771797631854,Success,1
MLP-W1000-LR0.0001-A0.5-G1.0-TH0.3,1000,0.0001,0.5,1.0,0.3,95.63000000000015,28.727644814885416,43.65853658536585,Success,0
MLP-W1000-LR0.0001-A0.5-G2.0-TH0.2,1000,0.0001,0.5,2.0,0.2,89.75999999999979,20.73527572585626,24.663677130044842,Success,1
MLP-W1000-LR0.0001-A0.5-G2.0-TH0.25,1000,0.0001,0.5,2.0,0.25,92.26999999999995,23.95374763539797,30.792452830188676,Success,0
MLP-W1000-LR0.0001-A0.5-G2.0-TH0.3,1000,0.0001,0.5,2.0,0.3,93.97999999999996,26.718803685319532,36.39774859287054,Success,1
MLP-W1000-LR0.0001-A0.5-G3.0-TH0.2,1000,0.0001,0.5,3.0,0.2,83.83000000000006,15.776566815158672,16.83848797250859,Success,0
MLP-W1000-LR0.0001-A0.5-G3.0-TH0.25,1000,0.0001,0.5,3.0,0.25,87.91000000000008,19.528794055247648,22.24371373307543,Success,1
MLP-W1000-LR0.0001-A0.5-G3.0-TH0.3,1000,0.0001,0.5,3.0,0.3,91.29000000000022,23.33927330202199,29.045643153526974,Success,0
MLP-W1000-LR0.0001-A0.75-G1.0-TH0.2,1000,0.0001,0.75,1.0,0.2,90.76000000000015,21.930560850914933,27.346177750155377,Success,1
MLP-W1000-LR0.0001-A0.75-G1.0-TH0.25,1000,0.0001,0.75,1.0,0.25,92.22000000000033,24.427911393727666,32.28699551569507,Success,0
MLP-W1000-LR0.0001-A0.75-G1.0-TH0.3,1000,0.0001,0.75,1.0,0.3,93.64000000000023,25.74749222749229,36.49373881932021,Success,1
MLP-W1000-LR0.0001-A0.75-G2.0-TH0.2,1000,0.0001,0.75,2.0,0.2,83.46999999999986,14.55164250556221,16.062884483937115,Success,0
MLP-W1000-LR0.0001-A0.75-G2.0-TH0.25,1000,0.0001,0.75,2.0,0.25,87.09999999999995,17.198729414171048,20.28194633924511,Success,1
MLP-W1000-LR0.0001-A0.75-G2.0-TH0.3,1000,0.0001,0.75,2.0,0.3,89.7299999999999,20.133288511880995,24.822695035460995,Success,0
MLP-W1000-LR0.0001-A0.75-G3.0-TH0.2,1000,0.0001,0.75,3.0,0.2,76.8199999999999,12.114782333466344,11.544461778471138,Success,1
MLP-W1000-LR0.0001-A0.75-G3.0-TH0.25,1000,0.0001,0.75,3.0,0.25,82.45000000000013,14.910233334639578,15.194564546016059,Success,0
MLP-W1000-LR0.0001-A0.75-G3.0-TH0.3,1000,0.0001,0.75,3.0,0.3,86.72000000000004,18.334508587592012,20.580235720761557,Success,1
MLP-W1500-LR5e-05-A0.25-G1.0-TH0.2,1500,5e-05,0.25,1.0,0.2,95.86000000000023,27.59800006578731,42.83870967741936,Success,0
MLP-W1500-LR5e-05-A0.25-G1.0-TH0.25,1500,5e-05,0.25,1.0,0.25,96.23000000000033,27.843601389893625,43.063583815028906,Success,1
MLP-W1500-LR5e-05-A0.25-G1.0-TH0.3,1500,5e-05,0.25,1.0,0.3,96.4699999999999,27.184418145956613,41.83835182250397,Success,0
MLP-W1500-LR5e-05-A0.25-G2.0-TH0.2,1500,5e-05,0.25,2.0,0.2,93.8500000000001,26.901462232140748,36.77950594693504,Success,1
MLP-W1500-LR5e-05-A0.25-G2.0-TH0.25,1500,5e-05,0.25,2.0,0.25,95.30999999999995,28.95498869323027,41.7910447761194,Success,0
MLP-W1500-LR5e-05-A0.25-G2.0-TH0.3,1500,5e-05,0.25,2.0,0.3,96.1199999999995,28.493442582613614,44.23076923076923,Success,1
MLP-W1500-LR5e-05-A0.25-G3.0-TH0.2,1500,5e-05,0.25,3.0,0.2,87.84999999999997,19.95629049140542,21.987951807228914,Success,0
MLP-W1500-LR5e-05-A0.25-G3.0-TH0.25,1500,5e-05,0.25,3.0,0.25,92.40000000000006,24.29284207375753,31.48148148148148,Success,1
MLP-W1500-LR5e-05-A0.25-G3.0-TH0.3,1500,5e-05,0.25,3.0,0.3,94.92999999999982,27.090713626547174,39.82494529540481,Success,0
MLP-W1500-LR5e-05-A0.5-G1.0-TH0.2,1500,5e-05,0.5,1.0,0.2,94.53000000000002,26.55821970682351,39.16913946587537,Success,1
MLP-W1500-LR5e-05-A0.5-G1.0-TH0.25,1500,5e-05,0.5,1.0,0.25,95.35000000000012,27.312181970076704,42.05714285714286,Success,0
MLP-W1500-LR5e-05-A0.5-G1.0-TH0.3,1500,5e-05,0.5,1.0,0.3,95.9200000000001,28.238159773043492,43.807040417209905,Success,1
MLP-W1500-LR5e-05-A0.5-G2.0-TH0.2,1500,5e-05,0.5,2.0,0.2,88.9700000000002,20.915097660614382,24.07407407407407,Success,0
MLP-W1500-LR5e-05-A0.5-G2.0-TH0.25,1500,5e-05,0.5,2.0,0.25,92.71999999999979,25.066160462200067,32.8525641025641,Success,1
MLP-W1500-LR5e-05-A0.5-G2.0-TH0.3,1500,5e-05,0.5,2.0,0.3,94.67999999999985,26.559852010979835,39.25233644859813,Success,0
MLP-W1500-LR5e-05-A0.5-G3.0-TH0.2,1500,5e-05,0.5,3.0,0.2,81.36999999999982,15.704907410798583,14.766355140186915,Success,1
MLP-W1500-LR5e-05-A0.5-G3.0-TH0.25,1500,5e-05,0.5,3.0,0.25,87.03000000000016,19.33578227314529,20.692883895131082,Success,0
MLP-W1500-LR5e-05-A0.5-G3.0-TH0.3,1500,5e-05,0.5,3.0,0.3,91.62000000000003,23.371772755882354,29.331416247304098,Success,1
MLP-W1500-LR5e-05-A0.75-G1.0-TH0.2,1500,5e-05,0.75,1.0,0.2,89.96999999999994,20.76676673194071,25.925925925925924,Success,0
MLP-W1500-LR5e-05-A0.75-G1.0-TH0.25,1500,5e-05,0.75,1.0,0.25,92.35999999999991,23.193591467874757,31.993817619783616,Success,1
MLP-W1500-LR5e-05-A0.75-G1.0-TH0.3,1500,5e-05,0.75,1.0,0.3,93.80999999999983,24.57425382798517,36.162361623616235,Success,0
