Model,Architecture,Window Size,LR,Dropout,ExactMatch,Macro F1,Micro F1,Status,GPU
MLP-XL-W500-LR0.0001-DO0.3,"[512, 256, 128]",500,0.0001,0.3,96.63999999999994,24.841003745113333,37.4331550802139,Success,1
MLP-XL-W500-LR0.0001-DO0.5,"[512, 256, 128]",500,0.0001,0.5,96.71999999999987,22.7750882428674,36.92870201096893,Success,0
MLP-XL-W500-LR5e-05-DO0.1,"[512, 256, 128]",500,5e-05,0.1,96.63999999999994,25.512610178215272,38.230088495575224,Success,1
MLP-XL-W500-LR5e-05-DO0.3,"[512, 256, 128]",500,5e-05,0.3,96.65999999999978,23.623803009575926,36.95652173913044,Success,0
MLP-XL-W500-LR5e-05-DO0.5,"[512, 256, 128]",500,5e-05,0.5,96.64000000000001,17.256510158873652,28.857715430861724,Success,1
MLP-XL-W500-LR1e-05-DO0.1,"[512, 256, 128]",500,1e-05,0.1,96.5000000000002,10.27027027027027,15.102974828375284,Success,0
MLP-XL-W500-LR1e-05-DO0.3,"[512, 256, 128]",500,1e-05,0.3,96.53999999999964,5.173699914748508,7.98004987531172,Success,1
MLP-XL-W500-LR1e-05-DO0.5,"[512, 256, 128]",500,1e-05,0.5,96.51999999999967,0.0,0.0,Success,0
MLP-XL-W1000-LR0.001-DO0.1,"[512, 256, 128]",1000,0.001,0.1,95.91999999999999,10.768022833437733,15.717092337917485,Success,1
MLP-XL-W1000-LR0.001-DO0.3,"[512, 256, 128]",1000,0.001,0.3,96.28000000000013,1.3407494145199061,1.9753086419753085,Success,0
MLP-XL-W1000-LR0.001-DO0.5,"[512, 256, 128]",1000,0.001,0.5,96.4200000000001,3.6353276353276356,5.4726368159203975,Success,1
MLP-XL-W1000-LR0.0005-DO0.1,"[512, 256, 128]",1000,0.0005,0.1,95.80000000000015,17.431399010346375,26.77685950413223,Success,0
MLP-XL-W1000-LR0.0005-DO0.3,"[512, 256, 128]",1000,0.0005,0.3,96.2099999999998,10.77443927211172,15.481171548117157,Success,1
MLP-XL-W1000-LR0.0005-DO0.5,"[512, 256, 128]",1000,0.0005,0.5,96.29999999999994,13.547149321266968,19.95926680244399,Success,0
MLP-XL-W1000-LR0.0001-DO0.1,"[512, 256, 128]",1000,0.0001,0.1,96.54999999999991,25.66891626198461,38.63247863247864,Success,1
MLP-XL-W1000-LR0.0001-DO0.3,"[512, 256, 128]",1000,0.0001,0.3,96.6200000000003,23.94213629507747,36.101083032490976,Success,0
MLP-XL-W1000-LR0.0001-DO0.5,"[512, 256, 128]",1000,0.0001,0.5,96.74000000000025,22.811425452169726,36.996336996337,Success,1
MLP-XL-W1000-LR5e-05-DO0.1,"[512, 256, 128]",1000,5e-05,0.1,96.61000000000021,25.44726537829986,38.24561403508772,Success,0
MLP-XL-W1000-LR5e-05-DO0.3,"[512, 256, 128]",1000,5e-05,0.3,96.66999999999982,23.862102709017748,37.251356238698015,Success,1
MLP-XL-W1000-LR5e-05-DO0.5,"[512, 256, 128]",1000,5e-05,0.5,96.64000000000001,17.256510158873652,28.857715430861724,Success,0
MLP-XL-W1000-LR1e-05-DO0.1,"[512, 256, 128]",1000,1e-05,0.1,96.5000000000002,10.27027027027027,15.102974828375284,Success,1
MLP-XL-W1000-LR1e-05-DO0.3,"[512, 256, 128]",1000,1e-05,0.3,96.53999999999964,5.173699914748508,7.98004987531172,Success,0
MLP-XL-W1000-LR1e-05-DO0.5,"[512, 256, 128]",1000,1e-05,0.5,96.51999999999967,0.0,0.0,Success,1
