Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status,GPU,Duration
LSTM-Small-LR1e3-W1,64,1,True,0.001,0.3,1,11.133726847140279,7.27457699124163,46.12944441996739,Success,0,75.45s
LSTM-Small-LR5e4-W1,64,1,True,0.0005,0.3,1,9.36291471605943,4.819575273606973,42.68146093388812,Success,1,75.39s
LSTM-Medium-LR1e3-W1,128,2,True,0.001,0.3,1,12.80276816608999,10.217592308957903,50.5338078291815,Success,0,87.38s
LSTM-Medium-LR5e4-W1,128,2,True,0.0005,0.3,1,10.462039487075112,6.459628249165279,46.21029082774049,Success,1,87.66s
LSTM-Large-LR1e3-W1,256,2,True,0.001,0.3,1,14.919601058416514,13.615836117045433,53.53397902825583,Success,0,92.93s
LSTM-Large-LR5e4-W1,256,2,True,0.0005,0.3,1,12.33462243028698,9.301253779871029,50.15362599436002,Success,1,93.59s
