name,hidden_dim,num_layers,lr,dropout,bidirectional,window_size,ExactMatch,Macro F1,Micro F1,Duration,Device,Status,Focal_Alpha,Focal_Gamma,Loss_Type
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,99.59678035220657,99.8728370227364,99.88005745018947,1900.70s,cuda:0,Success,0.5,5.0,Focal
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,99.6044170879599,99.87423469173496,99.88195879636173,1826.60s,cuda:0,Success,0.5,2.0,Focal
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,99.60747178226163,99.87481547631174,99.88272460911385,1682.98s,cuda:0,Success,0.5,3.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.30811174071744,99.77406604502524,99.78393633578972,1573.77s,cuda:0,Success,0.75,5.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.32949460082725,99.7786124405872,99.78927562060433,1615.24s,cuda:0,Success,0.75,2.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.31727582362196,99.77580059074856,99.78622100694112,1631.89s,cuda:0,Success,0.75,3.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.33102194797816,99.77855625843782,99.78965242932321,1519.71s,cuda:0,Success,0.75,1.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.32185786507472,99.77711207390254,99.7873658607476,1390.14s,cuda:0,Success,0.5,5.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.32796725367659,99.77826273890436,99.78888268455555,1927.87s,cuda:1,Success,0.5,2.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,99.32033051792308,99.77647318213988,99.78697446370725,1983.62s,cuda:1,Success,0.5,3.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,99.37378766819891,99.84157281372696,99.83709813406786,1795.62s,cuda:1,Success,0.75,5.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,99.33865868373238,99.83008149827486,99.82526420205257,1920.58s,cuda:1,Success,0.75,2.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,99.34935011378727,99.834844209761,99.82984502926207,1986.86s,cuda:1,Success,0.75,3.0,Focal
