name,hidden_dim,num_layers,lr,dropout,bidirectional,window_size,ExactMatch,Macro F1,Micro F1,Duration,Device,Status,Focal_Alpha,Focal_Gamma,Loss_Type
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,97.19999999999983,46.742541670679266,61.1036339165545,265.7766070365906,cuda:0,Success,0.75,1.0,Focal
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,97.30999999999995,45.20886825238013,60.51136363636363,262.9895315170288,cuda:0,Success,0.5,5.0,Focal
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,97.40999999999991,47.31327706110315,62.0199146514936,261.63415360450745,cuda:0,Success,0.5,2.0,Focal
LSTM-Small-LR5e4-W200,64,1,0.0005,0.3,True,200,97.34000000000007,45.42842157097929,61.18980169971672,262.92758798599243,cuda:0,Success,0.5,3.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.23000000000006,47.64272339201082,61.3728129205922,273.7541358470917,cuda:0,Success,0.75,5.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.15000000000005,46.4912072768375,60.483870967741936,275.73982787132263,cuda:0,Success,0.75,2.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.2599999999997,47.87463883101202,61.788617886178855,271.86461758613586,cuda:0,Success,0.75,3.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.29999999999991,47.720797698930554,62.24627875507443,271.18871426582336,cuda:0,Success,0.75,1.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.45999999999991,48.454123499104135,62.58890469416786,269.00401306152344,cuda:0,Success,0.5,5.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.45000000000006,47.82995124900749,62.04906204906205,291.4830069541931,cuda:1,Success,0.5,2.0,Focal
LSTM-Small-LR5e4-W500,64,1,0.0005,0.3,True,500,97.50000000000014,48.49715868051286,63.112391930835734,293.35887265205383,cuda:1,Success,0.5,3.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.03000000000027,42.45319158591272,57.9591836734694,274.6384291648865,cuda:1,Success,0.75,5.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.11999999999993,42.24994715704925,58.26330532212884,288.2057042121887,cuda:1,Success,0.75,2.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.11000000000001,42.36368934843446,58.48275862068966,288.575541973114,cuda:1,Success,0.75,3.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.03999999999972,41.506661378926914,57.579972183588325,286.9073529243469,cuda:1,Success,0.75,1.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.4800000000001,42.21285566535498,59.04761904761905,287.6671986579895,cuda:1,Success,0.5,5.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.49000000000018,41.98443190344897,59.305993690851736,288.56161999702454,cuda:1,Success,0.5,2.0,Focal
LSTM-Small-LR1e4-W100,64,1,0.0001,0.3,True,100,97.53000000000026,42.74063345590786,60.28257456828885,287.94114446640015,cuda:1,Success,0.5,3.0,Focal
