Name,Exact Match,Macro F1,Micro F1,Time
BASELINE (LSTM+Scaler+BCE),8.692394155114295,11.631015806478965,46.18413082980012,42.82689952850342
Embedding+BCE,12.926189584113862,18.51722928924859,54.69530469530469,354.84734654426575
Transformer+BCE,8.917197452229315,11.206657509518404,44.30873961357493,71.22749829292297
Embedding+Focal,14.574747096290755,27.166023046071164,56.91695673794133,191.07584881782532
