Name,Loss,Exact Match,Macro F1,Micro F1,Time
BestConfig-AlpiEmbedCNN_WFL,AlpiEmbedCNN_WFL,10.865492693892834,44.74485451398258,64.44242824150446,86.1031391620636
BestConfig-NoMemory_AlpiEmbed_WFL,NoMemory_AlpiEmbed_WFL,12.588984638441383,44.34534803758221,63.869045189206844,386.331130027771
BestConfig-AlpiAttention_WFL,AlpiAttention_WFL,12.13937804421131,42.380830631551234,62.98417784898858,741.6774795055389
BestConfig-AlpiMLP_WFL,AlpiMLP_WFL,3.1472461596103383,16.608614494306767,48.75300144069153,75.59105658531189
