Name,Loss,Exact Match,Macro F1,Micro F1,Time
BestConfig-FeatSeq_WCE_Base,FeatSeq_WCE_Base,12.588984638441383,44.34534803758221,63.869045189206844,389.0980713367462
BestConfig-FeatSeq_WCE_Beta0.7,FeatSeq_WCE_Beta0.7,15.399025852379204,43.37111245883284,65.44549783364077,388.42106008529663
BestConfig-Ensemble_FeatSeq_WCE,Ensemble_FeatSeq_WCE,12.401648557512186,42.63565936887486,65.23034609213845,1305.707855463028
BestConfig-FeatSeq_WCE_Beta0.9,FeatSeq_WCE_Beta0.9,10.977894342450343,42.332698399337374,62.56167055493936,386.2564284801483
BestConfig-Memory_FeatSeq_WCE,Memory_FeatSeq_WCE,12.326714125140496,42.26895890699015,64.11940298507463,429.18698596954346
