Name,Loss,Exact Match,Macro F1,Micro F1,Time
BestConfig-Sigma60_WCE_Gamma0,Sigma60_WCE_Gamma0,26.666666666666522,62.84653635002011,76.3477577036899,783.4334242343903
BestConfig-Sigma60_Focal_Gamma2,Sigma60_Focal_Gamma2,21.423220973782783,60.103567922597755,73.36556653352953,1465.8650550842285
BestConfig-Sigma60_Focal_Gamma3,Sigma60_Focal_Gamma3,17.116104868913865,54.923546709348045,70.14824075727807,774.364321231842
BestConfig-Sigma60_BCE_Beta0,Sigma60_BCE_Beta0,21.816479400749056,0.0,0.0,1437.3310182094574
