Model,Loss,ExactMatch,Macro F1,Micro F1,Status
MLP-XLarge-LR5e5-W500,BCEWithLogits,97.39000000000013,41.40522473723463,57.993730407523515,Success
MLP-XLarge-LR5e5-W500,FocalLoss,97.37999999999992,39.697566405650235,55.829228243021355,Success
