Name,Loss,Input_win,Output_win,Delta,Sigma,Window Size,Exact Match,Macro F1,Micro F1,Time
M4_Embed_BCE_iw1720_ow480_ws1,BCE,1720,480,0,120,1,76.89075630252117,60.67163041372733,68.80434782608695,2.5140297412872314
M4_Embed_BCE_iw1720_ow480_ws10,BCE,1720,480,0,120,10,45.462184873949575,16.597370783959136,22.404371584699454,2.699253797531128
M4_Embed_BCE_iw1720_ow480_ws50,BCE,1720,480,0,120,50,39.99999999999994,10.746315551977744,12.877939529675253,2.8830533027648926
M4_Embed_BCE_iw1720_ow480_ws100,BCE,1720,480,0,120,100,37.81512605042012,11.342810697991961,11.160714285714285,3.059174060821533
