Name,Loss,Input_win,Output_win,Delta,Sigma,Exact Match,Macro F1,Micro F1,Time
M4_WCE_iw1720_ow60_s30,WCE,1720,60,0,30,76.73048600883673,16.762719296105406,27.655986509274875,148.05120062828064
M4_WCE_iw1720_ow60_s60,WCE,1720,60,0,60,73.03983228511538,4.626618862418109,15.364583333333334,92.3479118347168
M4_WCE_iw1720_ow90_s60,WCE,1720,90,0,60,72.14765100671143,16.573165858311672,23.72517444981213,74.38513779640198
M4_WCE_iw1720_ow480_s60,WCE,1720,480,0,60,65.30698065601345,45.290177298004586,55.42380324989021,73.06443524360657
M4_WCE_iw1720_ow90_s70,WCE,1720,90,0,70,70.38310412573675,7.442456984023151,20.23884349465745,63.329570055007935
M4_WCE_iw1720_ow60_s90,WCE,1720,60,0,90,71.60883280757105,2.41483717900571,10.863239573229876,49.46735167503357
M4_WCE_iw1720_ow90_s90,WCE,1720,90,0,90,69.06565656565647,3.9496691903493106,14.808917197452228,49.12298512458801
M4_WCE_iw1720_ow480_s120,WCE,1720,480,0,120,59.99999999999994,30.367943363063276,40.24948024948025,38.193727254867554
M4_WCE_iw1720_ow480_s240,WCE,1720,480,0,240,57.07070707070705,18.26005580843907,28.04232804232804,19.012032747268677
M4_WCE_iw1720_ow480_s360,WCE,1720,480,0,360,49.74999999999998,10.68018330131155,21.079046424090336,12.906553745269775
M4_WCE_iw1720_ow480_s480,WCE,1720,480,0,480,57.28476821192052,6.819489179402972,17.293233082706767,9.861404657363892
M4_WFL_iw1720_ow60_s30,WFL,1720,60,0,30,66.9051125604882,14.541413483411283,23.02867383512545,148.66812705993652
M4_WFL_iw1720_ow60_s60,WFL,1720,60,0,60,63.689727463312416,4.585295726080875,13.3276740237691,73.21209335327148
M4_WFL_iw1720_ow90_s60,WFL,1720,90,0,60,63.12919463087253,11.989499145575737,19.913106444605358,74.35480523109436
M4_WFL_iw1720_ow480_s60,WFL,1720,480,0,60,59.54583683767858,41.70629800905054,51.60928143712575,73.88249468803406
M4_WFL_iw1720_ow90_s70,WFL,1720,90,0,70,60.461689587426314,8.845663936948855,17.75660459073192,62.58195447921753
M4_WFL_iw1720_ow60_s90,WFL,1720,60,0,90,63.53312302839118,2.73093578911331,10.51194539249147,50.48548889160156
M4_WFL_iw1720_ow90_s90,WFL,1720,90,0,90,60.29040404040399,4.6737582198324485,12.859560067681894,50.32364511489868
M4_WFL_iw1720_ow480_s120,WFL,1720,480,0,120,54.03361344537829,31.063621595162793,38.07245386192755,37.379581928253174
M4_WFL_iw1720_ow480_s240,WFL,1720,480,0,240,49.49494949494952,15.82902025798028,25.827384815055154,19.12282085418701
M4_WFL_iw1720_ow480_s360,WFL,1720,480,0,360,44.00000000000003,11.011429016595589,21.421215242018537,12.773298025131226
M4_WFL_iw1720_ow480_s480,WFL,1720,480,0,480,47.01986754966886,7.727065238980391,14.713216957605985,9.976401329040527
