classifier_type,window_size,epochs,total_samples,accuracy,micro_f1,macro_f1,subset_accuracy,hamming_loss,example_f1,micro_precision,micro_recall,macro_precision,macro_recall,elapsed_time_seconds
PretrainedRollingMultiLabel,500,1,10000,0.992620,0.106538,0.075070,0.965000,0.007380,0.002000,0.550000,0.058981,0.247619,0.045027,46.35
PretrainedRollingMultiLabel,500,3,10000,0.992960,0.169811,0.103938,0.966700,0.007040,0.003217,0.705882,0.096515,0.287879,0.073598,94.86
PretrainedRollingMultiLabel,500,10,10000,0.992560,0.237705,0.158839,0.964900,0.007440,0.005333,0.504348,0.155496,0.280102,0.112785,268.19
PretrainedRollingMultiLabel,500,50,10000,0.990660,0.240650,0.155564,0.956400,0.009340,0.006900,0.305785,0.198391,0.181762,0.138197,1228.37
PretrainedRollingMultiLabel,500,100,10000,0.990120,0.244648,0.161870,0.954400,0.009880,0.007350,0.284698,0.214477,0.175977,0.150334,2403.78
PretrainedRollingMultiLabel,500,150,10000,0.989640,0.215152,0.140663,0.951500,0.010360,0.006633,0.247387,0.190349,0.150258,0.133044,3579.78
PretrainedRollingMultiLabel,1000,1,10000,0.992760,0.117073,0.080052,0.965800,0.007240,0.002200,0.648649,0.064343,0.250000,0.049108,66.33
PretrainedRollingMultiLabel,1000,3,10000,0.992980,0.177986,0.107474,0.966500,0.007020,0.003417,0.703704,0.101877,0.286525,0.077680,143.44
PretrainedRollingMultiLabel,1000,10,10000,0.992900,0.258873,0.172418,0.966300,0.007100,0.005750,0.584906,0.166220,0.324898,0.120646,417.60
PretrainedRollingMultiLabel,1000,50,10000,0.990640,0.212121,0.136597,0.956200,0.009360,0.005933,0.285068,0.168901,0.169748,0.117494,1974.43
PretrainedRollingMultiLabel,1000,100,10000,0.989900,0.219474,0.144490,0.953200,0.010100,0.006567,0.259124,0.190349,0.160374,0.132441,3930.41
PretrainedRollingMultiLabel,1000,150,10000,0.989500,0.165342,0.107580,0.950400,0.010500,0.004867,0.203125,0.139410,0.124212,0.096553,5883.87
PretrainedRollingMultiLabel,2000,1,10000,0.992680,0.085000,0.060017,0.965700,0.007320,0.001567,0.629630,0.045576,0.233613,0.034823,111.88
PretrainedRollingMultiLabel,2000,3,10000,0.992860,0.152019,0.095672,0.966400,0.007140,0.002850,0.666667,0.085791,0.253846,0.065435,249.92
PretrainedRollingMultiLabel,2000,10,10000,0.992700,0.208243,0.136773,0.966000,0.007300,0.004467,0.545455,0.128686,0.292086,0.093692,735.15
PretrainedRollingMultiLabel,2000,50,10000,0.990840,0.210345,0.132601,0.956900,0.009160,0.005767,0.294686,0.163539,0.164587,0.112873,3508.92
PretrainedRollingMultiLabel,2000,100,10000,0.990440,0.211221,0.138377,0.955100,0.009560,0.005833,0.274678,0.171582,0.169644,0.119169,6986.77
PretrainedRollingMultiLabel,2000,150,10000,0.989500,0.170616,0.107320,0.951600,0.010500,0.005067,0.207692,0.144772,0.119979,0.098869,10435.66
